sku,country,cost
TS-BLACK-4XL,CH,14.67
TS-BLACK-4XL,BE,13.39
TS-BLACK-4XL,EE,17.89
TS-BLACK-4XL,ES,13.39
TS-BLACK-4XL,GR,13.72
TS-BLACK-4XL,IE,13.39
TS-BLACK-4XL,IT,13.39
TS-BLACK-4XL,LU,12.95
TS-BLACK-4XL,MC,11.07
TS-BLACK-4XL,NL,13.39
TS-BLACK-4XL,PT,13.61
TS-BLACK-4XL,SK,13.61
TS-BLACK-4XL,US,
TS-BLACK-4XL,AT,13.39
TS-BLACK-4XL,SE,13.39
TS-BLACK-5XL,FR,12.89
TS-BLACK-5XL,DE,12.89
TS-BLACK-5XL,GB,12.89
TS-BLACK-5XL,CA,21.12
TS-BLACK-5XL,CH,14.67
TS-BLACK-5XL,BE,13.39
TS-BLACK-5XL,EE,17.89
TS-BLACK-5XL,ES,13.39
TS-BLACK-5XL,GR,13.72
TS-BLACK-5XL,IE,13.39
TS-BLACK-5XL,IT,13.39
TS-BLACK-5XL,LU,13.5
TS-BLACK-5XL,MC,11.54
TS-BLACK-5XL,NL,13.96
TS-BLACK-5XL,PT,14.19
TS-BLACK-5XL,SK,14.19
TS-BLACK-5XL,US,
TS-BLACK-5XL,AT,13.39
TS-BLACK-5XL,SE,13.39
TS-NAVY-S,FR,10.39
TS-NAVY-S,DE,10.39
TS-NAVY-S,GB,10.39
TS-NAVY-S,CA,16.71
TS-NAVY-S,CH,13.99
TS-NAVY-S,BE,10.89
TS-NAVY-S,EE,13.77
TS-NAVY-S,ES,10.89
TS-NAVY-S,GR,12.88
TS-NAVY-S,IE,10.89
TS-NAVY-S,IT,10.89
TS-NAVY-S,LU,12.15
TS-NAVY-S,MC,10.39
TS-NAVY-S,NL,12.57
TS-NAVY-S,PT,12.78
TS-NAVY-S,SK,12.78
TS-NAVY-S,US,
TS-NAVY-S,AT,10.89
TS-NAVY-S,SE,10.89
TS-NAVY-M,FR,10.39
TS-NAVY-M,DE,10.39
TS-NAVY-M,GB,10.39
TS-NAVY-M,CA,16.71
TS-NAVY-M,CH,13.99
TS-NAVY-M,BE,10.89
TS-NAVY-M,EE,13.77
TS-NAVY-M,ES,10.89
TS-NAVY-M,GR,12.88
TS-NAVY-M,IE,10.89
TS-NAVY-M,IT,10.89
TS-NAVY-M,LU,12.15
TS-NAVY-M,MC,10.39
TS-NAVY-M,NL,12.57
TS-NAVY-M,PT,12.78
TS-NAVY-M,SK,12.78
TS-NAVY-M,US,
TS-NAVY-M,AT,10.89
TS-NAVY-M,SE,10.89
TS-NAVY-L,FR,10.39
TS-NAVY-L,DE,10.39
TS-NAVY-L,GB,10.39
TS-NAVY-L,CA,16.71
TS-NAVY-L,CH,13.99
TS-NAVY-L,BE,10.89
TS-NAVY-L,EE,13.77
TS-NAVY-L,ES,10.89
TS-NAVY-L,GR,12.88
TS-NAVY-L,IE,10.89
TS-NAVY-L,IT,10.89
TS-NAVY-L,LU,12.15
TS-NAVY-L,MC,10.39
TS-NAVY-L,NL,12.57
